fecha,demanda_MWh
2016-11-13,624556.818
2016-11-14,745517.292
2016-11-15,768876.712
2016-11-16,764875.128
2016-11-17,763284.774
2016-11-18,758921.427
2016-11-19,678258.742
2016-11-20,637187.678
2016-11-21,753839.724
2016-11-22,773927.367
2016-11-23,780114.325
2016-11-24,783884.245
2016-11-25,789820.774
2016-11-26,713319.307
2016-11-27,658685.061
2016-11-28,771003.798
2016-11-29,790572.445
2016-11-30,788671.898
2016-12-01,785876.617
2016-12-02,777112.039
2016-12-03,706542.519
2016-12-04,655254.736
2016-12-05,732588.135
2016-12-06,677358.021
2016-12-07,737830.564
2016-12-08,666087.206
2016-12-09,715348.606
2016-12-10,675950.2
2016-12-11,645628.368
2016-12-12,769010.839
2016-12-13,795442.136
2016-12-14,802700.25
2016-12-15,806790.24
2016-12-16,801241.44
2016-12-17,714042.418
2016-12-18,676308.34
2016-12-19,806323.246
2016-12-20,810406.693
2016-12-21,802393.776
2016-12-22,789108.615
2016-12-23,750541.415
2016-12-24,648853.885
2016-12-25,567295.699
2016-12-26,623100.605
2016-12-27,716949.53
2016-12-28,725000.592
2016-12-29,725599.158
2016-12-30,724521.677
2016-12-31,667164.602
2017-01-01,598777.485
2017-01-02,737399.953
2017-01-03,790181.976
2017-01-04,787400.021
2017-01-05,755093.902
2017-01-06,647771.64
2017-01-07,705200.674
2017-01-08,694080.263
2017-01-09,821910.33
2017-01-10,846224.728
2017-01-11,824245.639
2017-01-12,815386.868
2017-01-13,811110.239
2017-01-14,747715.593
2017-01-15,703889.662
2017-01-16,824373.113
2017-01-17,847797.77
2017-01-18,884984.52
2017-01-19,888001.932
2017-01-20,866315.684
2017-01-21,770045.766
2017-01-22,712918.725
2017-01-23,836812.562
2017-01-24,843533.481
2017-01-25,848770.002
2017-01-26,856403.657
2017-01-27,842428.081
2017-01-28,743673.98
2017-01-29,689587.651
2017-01-30,798149.713
2017-01-31,798037.782
2017-02-01,796445.506
2017-02-02,800036.205
2017-02-03,789355.647
2017-02-04,706102.119
2017-02-05,659565.875
2017-02-06,777153.624
2017-02-07,783937.826
2017-02-08,793018.604
