modelo,ano_test,timestamp,real,pred
naive_hd,2018,2018-01-09 09:00:00,37888.0,32453.98076923077
naive_hd,2018,2018-01-09 10:00:00,38686.0,33224.3782051282
naive_hd,2018,2018-01-09 11:00:00,38688.0,33493.01602564102
naive_hd,2018,2018-01-09 12:00:00,38082.0,33707.570512820515
naive_hd,2018,2018-01-09 13:00:00,38398.0,33738.192307692305
naive_hd,2018,2018-01-09 14:00:00,37405.0,32755.30769230769
naive_hd,2018,2018-01-09 15:00:00,37085.0,32116.02564102564
naive_hd,2018,2018-01-09 16:00:00,36894.0,31953.410256410258
naive_hd,2018,2018-01-09 17:00:00,36903.0,32093.98717948718
naive_hd,2018,2018-01-09 18:00:00,38582.0,32465.45512820513
naive_hd,2018,2018-01-09 19:00:00,39374.0,32973.77564102564
naive_hd,2018,2018-01-09 20:00:00,39478.0,33504.217948717946
naive_hd,2018,2018-01-09 21:00:00,38343.0,33453.070512820515
naive_hd,2018,2018-01-09 22:00:00,35348.0,31384.0641025641
naive_hd,2018,2018-01-09 23:00:00,31823.0,28711.57051282051
naive_hd,2018,2018-01-10 00:00:00,29001.0,26812.26923076923
naive_hd,2018,2018-01-10 01:00:00,26734.0,25086.358974358973
naive_hd,2018,2018-01-10 02:00:00,25441.0,23999.160256410258
naive_hd,2018,2018-01-10 03:00:00,25031.0,23538.333333333332
naive_hd,2018,2018-01-10 04:00:00,24906.0,23384.07051282051
naive_hd,2018,2018-01-10 05:00:00,25566.0,23819.52564102564
naive_hd,2018,2018-01-10 06:00:00,28072.0,25826.54487179487
naive_hd,2018,2018-01-10 07:00:00,32993.0,28984.166666666668
naive_hd,2018,2018-01-10 08:00:00,36223.0,31207.28205128205
naive_hd,2018,2018-01-10 09:00:00,37292.0,32544.528846153848
naive_hd,2018,2018-01-10 10:00:00,37901.0,33260.77564102564
naive_hd,2018,2018-01-10 11:00:00,37660.0,33545.032051282054
naive_hd,2018,2018-01-10 12:00:00,37320.0,33759.403846153844
naive_hd,2018,2018-01-10 13:00:00,37213.0,33772.88461538462
naive_hd,2018,2018-01-10 14:00:00,36069.0,32795.6858974359
naive_hd,2018,2018-01-10 15:00:00,35451.0,32144.25
naive_hd,2018,2018-01-10 16:00:00,35102.0,32009.083333333332
naive_hd,2018,2018-01-10 17:00:00,35390.0,32143.423076923078
naive_hd,2018,2018-01-10 18:00:00,37007.0,32496.346153846152
