modelo,ano_test,fecha,real,pred
chronos2,2024,2024-03-15,698375.264,707968.1875
chronos2,2024,2024-03-16,619190.554,622704.0625
chronos2,2024,2024-03-17,571959.711,569689.5
chronos2,2024,2024-03-18,656466.182,659177.0
chronos2,2024,2024-03-19,650942.94,679893.5625
chronos2,2024,2024-03-20,677715.876,690790.25
chronos2,2024,2024-03-21,684131.084,677298.625
chronos2,2024,2024-03-22,675156.316,666652.6875
chronos2,2024,2024-03-23,603767.889,599380.375
chronos2,2024,2024-03-24,563702.618,564940.75
chronos2,2024,2024-03-25,685192.419,661177.0
chronos2,2024,2024-03-26,699802.428,691449.375
chronos2,2024,2024-03-27,695408.52,701522.5625
chronos2,2024,2024-03-28,617996.902,701172.8125
chronos2,2024,2024-03-29,573029.121,650731.25
chronos2,2024,2024-03-30,588708.264,633637.0625
chronos2,2024,2024-03-31,561847.85,577764.25
chronos2,2024,2024-04-01,623303.276,693258.75
chronos2,2024,2024-04-02,694646.131,709329.5625
chronos2,2024,2024-04-03,688565.412,718512.875
chronos2,2024,2024-04-04,677501.897,710909.875
chronos2,2024,2024-04-05,671728.963,684884.1875
chronos2,2024,2024-04-06,604539.804,615113.4375
chronos2,2024,2024-04-07,561830.999,563137.125
chronos2,2024,2024-04-08,657510.236,651621.75
chronos2,2024,2024-04-09,668332.691,673349.25
chronos2,2024,2024-04-10,668277.546,680825.75
chronos2,2024,2024-04-11,666051.0,676253.1875
chronos2,2024,2024-04-12,664534.289,662538.5625
chronos2,2024,2024-04-13,585627.137,584816.0
chronos2,2024,2024-04-14,543795.772,544480.125
chronos2,2024,2024-04-15,648467.3,629959.375
chronos2,2024,2024-04-16,666104.149,661976.0
chronos2,2024,2024-04-17,661868.183,669956.8125
chronos2,2024,2024-04-18,666332.603,668693.875
chronos2,2024,2024-04-19,663124.782,662137.25
chronos2,2024,2024-04-20,589557.074,589562.8125
chronos2,2024,2024-04-21,546008.854,557204.25
chronos2,2024,2024-04-22,651354.591,654213.4375
chronos2,2024,2024-04-23,667541.496,689813.3125
chronos2,2024,2024-04-24,675674.227,693840.375
chronos2,2024,2024-04-25,691514.386,700447.6875
chronos2,2024,2024-04-26,675506.739,688463.875
chronos2,2024,2024-04-27,611988.992,626363.125
chronos2,2024,2024-04-28,568776.214,574762.6875
chronos2,2024,2024-04-29,672239.614,671761.625
chronos2,2024,2024-04-30,665002.708,700236.1875
chronos2,2024,2024-05-01,568495.068,663378.0625
chronos2,2024,2024-05-02,635501.984,712276.125
chronos2,2024,2024-05-03,652238.521,685346.8125
chronos2,2024,2024-05-04,593627.948,616446.9375
chronos2,2024,2024-05-05,555852.311,564600.1875
chronos2,2024,2024-05-06,648228.123,654327.375
chronos2,2024,2024-05-07,652583.945,681783.8125
chronos2,2024,2024-05-08,658873.053,680093.0
chronos2,2024,2024-05-09,655891.305,675184.4375
chronos2,2024,2024-05-10,645699.657,669077.75
chronos2,2024,2024-05-11,580019.888,602396.25
chronos2,2024,2024-05-12,541009.031,559703.0
chronos2,2024,2024-05-13,646028.397,654961.25
chronos2,2024,2024-05-14,665540.527,675722.25
chronos2,2024,2024-05-15,655349.807,684228.0
chronos2,2024,2024-05-16,661439.853,684679.3125
chronos2,2024,2024-05-17,652048.475,675748.625
chronos2,2024,2024-05-18,584137.337,606463.8125
chronos2,2024,2024-05-19,545024.052,564962.3125
chronos2,2024,2024-05-20,632021.971,658268.0
chronos2,2024,2024-05-21,656109.774,678864.1875
chronos2,2024,2024-05-22,659114.186,684794.25
chronos2,2024,2024-05-23,657885.535,685080.875
chronos2,2024,2024-05-24,652663.71,669535.5625
chronos2,2024,2024-05-25,584566.506,595214.0
chronos2,2024,2024-05-26,543898.242,555270.0625
chronos2,2024,2024-05-27,656440.291,651753.3125
chronos2,2024,2024-05-28,665817.233,671000.6875
chronos2,2024,2024-05-29,678938.262,687319.75
chronos2,2024,2024-05-30,684233.4,687590.8125
chronos2,2024,2024-05-31,672026.119,668884.1875
chronos2,2024,2024-06-01,605685.889,600271.4375
chronos2,2024,2024-06-02,560792.014,560464.625
chronos2,2024,2024-06-03,664249.663,655802.0625
chronos2,2024,2024-06-04,676223.208,685135.1875
chronos2,2024,2024-06-05,690706.326,696894.0625
chronos2,2024,2024-06-06,709405.629,708476.75
chronos2,2024,2024-06-07,709081.52,699147.4375
chronos2,2024,2024-06-08,625017.26,612455.5625
chronos2,2024,2024-06-09,564689.066,568532.375
chronos2,2024,2024-06-10,667360.68,667100.875
chronos2,2024,2024-06-11,675023.098,684399.75
chronos2,2024,2024-06-12,669532.698,687712.75
chronos2,2024,2024-06-13,656769.75,681761.9375
chronos2,2024,2024-06-14,674206.766,677194.625
chronos2,2024,2024-06-15,601068.708,607454.8125
chronos2,2024,2024-06-16,561514.511,568029.0625
chronos2,2024,2024-06-17,681820.916,673485.8125
chronos2,2024,2024-06-18,699419.396,680698.8125
chronos2,2024,2024-06-19,690884.271,692679.375
chronos2,2024,2024-06-20,684434.641,688734.4375
chronos2,2024,2024-06-21,669689.165,680438.1875
chronos2,2024,2024-06-22,608838.516,612685.0625
chronos2,2024,2024-06-23,569494.463,580119.0
chronos2,2024,2024-06-24,649416.806,689970.25
chronos2,2024,2024-06-25,712922.105,714270.375
chronos2,2024,2024-06-26,717892.384,715053.5
chronos2,2024,2024-06-27,721054.708,715904.5625
chronos2,2024,2024-06-28,715511.219,700305.3125
chronos2,2024,2024-06-29,630142.827,612232.5625
chronos2,2024,2024-06-30,584627.364,579892.9375
chronos2,2024,2024-07-01,681409.249,674351.4375
chronos2,2024,2024-07-02,703491.606,697766.25
chronos2,2024,2024-07-03,721171.089,720207.75
chronos2,2024,2024-07-04,741981.107,733502.375
chronos2,2024,2024-07-05,744021.161,730735.25
chronos2,2024,2024-07-06,655275.862,654571.8125
chronos2,2024,2024-07-07,592880.387,599980.0
chronos2,2024,2024-07-08,704684.064,709987.875
chronos2,2024,2024-07-09,735322.24,732523.0
chronos2,2024,2024-07-10,756032.335,753721.5
chronos2,2024,2024-07-11,784406.465,767796.1875
chronos2,2024,2024-07-12,774064.671,744095.9375
chronos2,2024,2024-07-13,669619.273,655853.0
chronos2,2024,2024-07-14,619815.61,633467.625
chronos2,2024,2024-07-15,746760.75,730172.0
chronos2,2024,2024-07-16,761435.351,753466.875
chronos2,2024,2024-07-17,769574.128,761989.125
chronos2,2024,2024-07-18,788334.388,780573.875
chronos2,2024,2024-07-19,798658.134,780324.6875
chronos2,2024,2024-07-20,713125.299,703467.875
chronos2,2024,2024-07-21,642305.943,642391.0
chronos2,2024,2024-07-22,742688.427,742998.1875
chronos2,2024,2024-07-23,783735.147,786796.1875
chronos2,2024,2024-07-24,806576.408,803081.4375
chronos2,2024,2024-07-25,773955.13,801140.4375
chronos2,2024,2024-07-26,773590.842,786270.625
chronos2,2024,2024-07-27,703718.397,710917.5625
chronos2,2024,2024-07-28,669515.361,677603.9375
chronos2,2024,2024-07-29,795661.898,777107.4375
chronos2,2024,2024-07-30,814439.123,802824.8125
chronos2,2024,2024-07-31,808446.346,806628.75
chronos2,2024,2024-08-01,822334.593,797898.875
chronos2,2024,2024-08-02,796742.399,778861.8125
chronos2,2024,2024-08-03,700122.36,697585.3125
chronos2,2024,2024-08-04,664411.431,668513.25
chronos2,2024,2024-08-05,759002.69,762195.4375
chronos2,2024,2024-08-06,771423.581,780259.4375
chronos2,2024,2024-08-07,772073.249,784010.125
chronos2,2024,2024-08-08,772401.538,783182.3125
chronos2,2024,2024-08-09,772935.824,782681.0
chronos2,2024,2024-08-10,713464.803,724584.0625
chronos2,2024,2024-08-11,671701.722,683359.3125
chronos2,2024,2024-08-12,750014.535,747748.0
chronos2,2024,2024-08-13,737828.997,746292.9375
chronos2,2024,2024-08-14,702725.921,731009.0
chronos2,2024,2024-08-15,617541.371,652968.0625
chronos2,2024,2024-08-16,655090.386,733019.8125
chronos2,2024,2024-08-17,647929.123,664490.3125
chronos2,2024,2024-08-18,628945.697,637015.125
chronos2,2024,2024-08-19,712297.821,708084.875
chronos2,2024,2024-08-20,732700.795,736258.0625
chronos2,2024,2024-08-21,742774.409,742985.4375
chronos2,2024,2024-08-22,749146.713,751900.3125
chronos2,2024,2024-08-23,743446.72,748431.625
chronos2,2024,2024-08-24,688878.926,677873.1875
chronos2,2024,2024-08-25,647915.767,626516.5
