modalidad,iter,ano_test,fecha,real,pred,error,train_ini,train_fin,n_train
sliding,3,2022,2022-07-01,23635939.166,24824826.778459698,-1188887.6124596968,2017-01-01,2021-12-01,60
sliding,3,2022,2022-08-01,22009668.436,23186647.44325713,-1176979.00725713,2017-01-01,2021-12-01,60
sliding,3,2022,2022-09-01,20311958.98,21344309.522013854,-1032350.5420138538,2017-01-01,2021-12-01,60
sliding,3,2022,2022-10-01,19330113.115,19815696.55812569,-485583.44312569126,2017-01-01,2021-12-01,60
sliding,3,2022,2022-11-01,19301765.718,20191406.20874911,-889640.4907491133,2017-01-01,2021-12-01,60
sliding,3,2022,2022-12-01,20287656.712,21606064.27823934,-1318407.5662393384,2017-01-01,2021-12-01,60
sliding,4,2023,2023-01-01,22134026.291,21662288.267068747,471738.0239312537,2018-01-01,2022-12-01,60
sliding,4,2023,2023-02-01,20560235.18,20134913.140775185,425322.0392248146,2018-01-01,2022-12-01,60
sliding,4,2023,2023-03-01,20639711.232,19580074.168067817,1059637.0639321841,2018-01-01,2022-12-01,60
sliding,4,2023,2023-04-01,18316734.3,17292376.252236575,1024358.0477634259,2018-01-01,2022-12-01,60
sliding,4,2023,2023-05-01,19243367.373,19147367.79797151,95999.57502849028,2018-01-01,2022-12-01,60
sliding,4,2023,2023-06-01,19973380.276,19887336.83510006,86043.44089994207,2018-01-01,2022-12-01,60
sliding,4,2023,2023-07-01,22799599.054,22070745.561095513,728853.492904488,2018-01-01,2022-12-01,60
sliding,4,2023,2023-08-01,21829565.953,21179962.808010086,649603.1449899152,2018-01-01,2022-12-01,60
sliding,4,2023,2023-09-01,19762754.89,18813425.260925237,949329.6290747635,2018-01-01,2022-12-01,60
sliding,4,2023,2023-10-01,19990082.144,18865631.54702128,1124450.5969787203,2018-01-01,2022-12-01,60
sliding,4,2023,2023-11-01,20113191.795,18476028.960674945,1637162.8343250565,2018-01-01,2022-12-01,60
sliding,4,2023,2023-12-01,21302390.025,20167619.56499872,1134770.4600012787,2018-01-01,2022-12-01,60
sliding,5,2024,2024-01-01,22353571.734,21305436.720038503,1048135.0139614977,2019-01-01,2023-12-01,60
sliding,5,2024,2024-02-01,20335524.431,19554667.3044744,780857.1265256032,2019-01-01,2023-12-01,60
sliding,5,2024,2024-03-01,20714646.058,20841902.163076937,-127256.10507693887,2019-01-01,2023-12-01,60
sliding,5,2024,2024-04-01,19297307.065,18594168.641477168,703138.4235228337,2019-01-01,2023-12-01,60
sliding,5,2024,2024-05-01,19541304.511,19165500.15943523,375804.3515647687,2019-01-01,2023-12-01,60
sliding,5,2024,2024-06-01,19647475.567,19071121.026357617,576354.5406423844,2019-01-01,2023-12-01,60
sliding,5,2024,2024-07-01,22776696.191,22286975.06615638,489721.12484361976,2019-01-01,2023-12-01,60
sliding,5,2024,2024-08-01,22457895.434,21592328.72840976,865566.7055902407,2019-01-01,2023-12-01,60
sliding,5,2024,2024-09-01,19951121.613,19400541.16796132,550580.44503868,2019-01-01,2023-12-01,60
sliding,5,2024,2024-10-01,20340919.009,19726178.052642763,614740.956357237,2019-01-01,2023-12-01,60
sliding,5,2024,2024-11-01,19908555.216,19836609.046352047,71946.16964795068,2019-01-01,2023-12-01,60
sliding,5,2024,2024-12-01,21674632.33,21098499.980654996,576132.3493450023,2019-01-01,2023-12-01,60
sliding,6,2025,2025-01-01,22938402.648,23084845.557970952,-146442.90997095406,2020-01-01,2024-12-01,60
sliding,6,2025,2025-02-01,20264278.732,21117988.613880333,-853709.8818803318,2020-01-01,2024-12-01,60
sliding,6,2025,2025-03-01,21873142.114,21729489.44429767,143652.66970232874,2020-01-01,2024-12-01,60
sliding,6,2025,2025-04-01,18774342.998,19850040.90278022,-1075697.9047802202,2020-01-01,2024-12-01,60
sliding,6,2025,2025-05-01,19552211.448,20391985.006933637,-839773.558933638,2020-01-01,2024-12-01,60
sliding,6,2025,2025-06-01,21828642.151,22557877.47711354,-729235.3261135407,2020-01-01,2024-12-01,60
sliding,6,2025,2025-07-01,23484214.113,23305105.020308852,179109.09269114956,2020-01-01,2024-12-01,60
sliding,6,2025,2025-08-01,22275152.603,23299436.03103312,-1024283.4280331209,2020-01-01,2024-12-01,60
sliding,6,2025,2025-09-01,20839861.397,21285928.24641587,-446066.8494158685,2020-01-01,2024-12-01,60
sliding,6,2025,2025-10-01,20459806.862,20723455.785134405,-263648.92313440517,2020-01-01,2024-12-01,60
sliding,6,2025,2025-11-01,21098962.566,20899787.66751204,199174.89848795906,2020-01-01,2024-12-01,60
sliding,6,2025,2025-12-01,22697453.736,22104400.17780332,593053.5581966825,2020-01-01,2024-12-01,60
