ano_test,fecha,real,pred_ens_actual,pred_chronos2,pred_50_50
2023,2023-06-16,695921.152,742958.5266586334,677596.9375,710277.7320793166
2023,2023-06-17,627665.321,674991.9506197813,630391.875,652691.9128098907
2023,2023-06-18,577954.372,594987.2557880102,569851.75,582419.502894005
2023,2023-06-19,684896.351,707016.8167048423,674302.8125,690659.8146024211
2023,2023-06-20,704703.371,717249.2087163132,691240.375,704244.7918581567
2023,2023-06-21,714975.961,712276.6365458105,695080.9375,703678.7870229052
2023,2023-06-22,709422.083,698972.4879509716,705417.4375,702194.9627254858
2023,2023-06-23,705413.541,692321.7335576136,711023.0,701672.3667788068
2023,2023-06-24,628176.282,642351.8246781634,650423.625,646387.7248390818
2023,2023-06-25,616012.038,615439.4693409438,619064.4375,617251.9534204719
2023,2023-06-26,753018.153,707921.5737611977,745318.0,726619.7868805989
2023,2023-06-27,772286.006,731029.6021853714,754141.8125,742585.7073426857
2023,2023-06-28,777596.436,736355.5392904459,751602.125,743978.8321452229
2023,2023-06-29,771072.346,731293.5855159251,743565.25,737429.4177579626
2023,2023-06-30,729157.132,702529.600125546,697656.4375,700093.018812773
2023,2023-07-01,646254.981,648717.1256706533,641365.6875,645041.4065853267
